,Name,Platform,Genre,Global_Sales
17514,UEFA Euro 2016,PS4,Sports,0.31
17515,Bass Hunter 64,N64,Sports,0.31
10901,Vigilante 8,N64,Racing,0.31
17516,Jikkyou Powerful Pro Yakyuu 4,N64,Sports,0.31
17517,Major League Baseball 2K8,PS3,Sports,0.31
17518,J-League Winning Eleven 2007: Club Championship,PS2,Sports,0.31
9024,Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,Platform,0.31
964,The Incredible Hulk,Wii,Action,0.31
9026,Mega Man Maverick Hunter X,PSP,Platform,0.31
6773,Midway Arcade Treasures 2,XB,Misc,0.31
966,Slot Machine,2600,Action,0.31
967,Astroblast,2600,Action,0.31
15612,Animal Crossing,N64,Simulation,0.31
15611,SimAnimals,Wii,Simulation,0.31
15610,Armored Core: Silent Line,PS2,Simulation,0.31
3115,Sonic Boom: Rise of Lyric,WiiU,Action-Adventure,0.31
3116,The LEGO Movie Videogame,PSV,Action-Adventure,0.31
3117,LEGO Ninjago: Shadow of Ronin,3DS,Action-Adventure,0.31
6772,Shrek's Carnival Craze Party Games,Wii,Misc,0.31
12469,Shin Megami Tensei: Devil Survivor 2,DS,Role-Playing,0.31
6771,Jampack Volume 12,PS2,Misc,0.31
6770,SingStar Take That,PS3,Misc,0.31
6769,Tiny Toon Adventures: The Great Beanstalk,PS,Misc,0.31
958,DmC Devil May Cry: Definitive Edition,PS4,Action,0.31
957,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,Action,0.31
956,Dark Void,X360,Action,0.31
955,Brothers In Arms: Earned In Blood,XB,Action,0.31
954,KISS Pinball,PS,Action,0.31
965,TRON: Evolution,X360,Action,0.31
12470,Etrian Odyssey III: The Drowned City,DS,Role-Playing,0.31
952,Clash of the Titans: The Videogame,PS3,Action,0.31
6779,A Collection of Intellivision Classic Games,PS,Misc,0.31
962,Lego Batman 3: Beyond Gotham,PSV,Action,0.31
961,Mega Man Battle Network 2,GBA,Action,0.31
960,MySims SkyHeroes,DS,Action,0.31
6774,Calvin Tucker's Redneck Jamboree,Wii,Misc,0.31
6775,South Park: Chef's Luv Shack,PS,Misc,0.31
6776,Music Maker,PS2,Misc,0.31
6777,Dynasty Warriors 8: Xtreme Legends,PS4,Misc,0.31
6778,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,Misc,0.31
959,Hitman,XOne,Action,0.31
12471,MonHun Nikki: Poka Poka Ailu Mura G,PSP,Role-Playing,0.31
12479,Orphen: Scion of Sorcery,PS2,Role-Playing,0.31
12478,RPG Tsukuru 2,SNES,Role-Playing,0.31
12477,Final Fantasy IV,PS,Role-Playing,0.31
12476,Devil Summoner: Soul Hackers,SAT,Role-Playing,0.31
12475,Dragon Quest Builders: Revive Alefgard,PSV,Role-Playing,0.31
12474,Pandora's Tower,Wii,Role-Playing,0.31
12473,Digimon World: Dawn / Dusk,DS,Role-Playing,0.31
12472,Monster Lab,Wii,Role-Playing,0.31
9027,The Legend of Spyro: Dawn of the Dragon,X360,Platform,0.31
953,Dr. Seuss: How the Grinch Stole Christmas,DS,Action,0.31
951,Mortal Kombat: Shaolin Monks,XB,Action,0.31
6768,Jampack: Summer 2003 (RP-M),PS2,Misc,0.31
968,Blade II,PS2,Action,0.31
19307,The Settlers 7: Paths to a Kingdom,PC,Strategy,0.31
19306,XCOM 2,PS4,Strategy,0.31
19305,SD Gundam G Generation: Overworld,PSP,Strategy,0.31
19304,Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,Strategy,0.31
19303,Lord of the Rings: Battle for Middle-Earth,X360,Strategy,0.31
19302,XCOM 2,PC,Strategy,0.31
19301,Super Robot Taisen Complete Box,PS,Strategy,0.31
963,Mountain King,2600,Action,0.31
19299,Yu-Gi-Oh! The Dawn of Destiny,XB,Strategy,0.31
19298,WarCraft II: The Dark Saga,PS,Strategy,0.31
9035,Shrek: Forever After,DS,Platform,0.31
9034,Disney's The Emperor's New Groove,PS,Platform,0.31
9033,40 Winks,PS,Platform,0.31
9032,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,Platform,0.31
9031,Spider-Man 3,PSP,Platform,0.31
9030,Sonic Mania,PS4,Platform,0.31
9029,Mega Man Zero Collection,DS,Platform,0.31
9028,Goemon's Great Adventure,N64,Platform,0.31
14355,METRO Redux,XOne,Shooter,0.31
19300,SD Gundam G Generation Wars,PS2,Strategy,0.31
14359,Star Wars Jedi Knight II: Jedi Outcast,XB,Shooter,0.31
946,1001 Touch Games,DS,Action,0.31
14356,Sniper Elite III,PS3,Shooter,0.31
14357,Einhander,PS,Shooter,0.31
14358,Panzer Dragoon II Zwei,SAT,Shooter,0.31
945,Shrek the Third,PSP,Action,0.31
6765,Peppa Pig: Theme Park Fun,DS,Misc,0.31
6766,Sesame Street: Elmo's Letter Adventure,PS,Misc,0.31
9804,Catherine,X360,Puzzle,0.31
950,The Matrix: Path of Neo,XB,Action,0.31
9803,Bust-A-Move Universe,3DS,Puzzle,0.31
949,Manhunt 2,PSP,Action,0.31
948,Senran Kagura Shinovi Versus,PSV,Action,0.31
6767,Namco Museum: Virtual Arcade,X360,Misc,0.31
947,Harry Potter and the Half-Blood Prince,X360,Action,0.31
978,Resident Evil Archives: Resident Evil,Wii,Action,0.3
14369,Syphon Filter: Dark Mirror,PSP,Shooter,0.3
14368,Sniper Elite 4,XOne,Shooter,0.3
14367,Starhawk,PS3,Shooter,0.3
980,Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,Action,0.3
14366,Call of Duty: Black Ops 3,PC,Shooter,0.3
979,One Piece Unlimited Cruise SP,3DS,Action,0.3
6789,Capcom Classics Collection Remixed,PSP,Misc,0.3
981,Army Men: Air Attack 2,PS,Action,0.3
982,Dynasty Warriors 6,X360,Action,0.3
6788,Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,Misc,0.3
6787,Squinkies,DS,Misc,0.3
6786,The Smurfs: Dance Party,Wii,Misc,0.3
6785,Nounai Aeshe: IQ Suppli DS,DS,Misc,0.3
6784,The Evil Within,PC,Misc,0.3
6783,Karaoke Revolution Party,PS2,Misc,0.3
6782,Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,PSP,Misc,0.3
6781,Gameboy Gallery,GB,Misc,0.3
6780,Def Jam Rapstar,X360,Misc,0.3
15620,Hamster Tarou,GB,Simulation,0.3
15619,Future Cop L.A.P.D.,PS,Simulation,0.3
15618,MySims Party,DS,Simulation,0.3
15617,The Sims 2: Pets,PS2,Simulation,0.3
15616,Dance Dance Revolution Universe 3,X360,Simulation,0.3
15615,Macross Digital Mission VF-X,PS,Simulation,0.3
15614,Imagine: Family Doctor,DS,Simulation,0.3
15613,Cities: Skylines,PS4,Simulation,0.3
9814,I Spy: Spooky Mansion,Wii,Puzzle,0.3
976,LEGO Marvel's Avengers,3DS,Action,0.3
9810,Lumines ll,PSP,Puzzle,0.3
9811,Puyo Puyo 7,DS,Puzzle,0.3
9812,Super Bomberman 5,SNES,Puzzle,0.3
9813,Angry Birds: Star Wars,PS3,Puzzle,0.3
6790,Guitar Hero: Van Halen,X360,Misc,0.3
6791,The Walking Dead: Season Two,PS4,Misc,0.3
14365,Quake II,N64,Shooter,0.3
9036,Spyro: Attack of the Rhynocs,GBA,Platform,0.3
983,Fist of the North Star: Ken's Rage 2,PS3,Action,0.3
984,The Suite Life of Zack & Cody: Circle of Spies,DS,Action,0.3
985,Finding Nemo: The Continuing Adventures,GBA,Action,0.3
986,Shrek the Third,DS,Action,0.3
987,Shark Tale,GC,Action,0.3
988,Batman: The Brave and the Bold the Videogame,DS,Action,0.3
989,Teenage Mutant Ninja Turtles,XB,Action,0.3
990,Phineas and Ferb Ride Again,DS,Action,0.3
991,N3: Ninety-Nine Nights,X360,Action,0.3
992,MySims SkyHeroes,Wii,Action,0.3
9037,Madagascar,DS,Platform,0.3
14364,Stranglehold,PS3,Shooter,0.3
9038,Jumping Flash!,PS,Platform,0.3
9039,Lizzie McGuire 3: Homecoming Havoc,GBA,Platform,0.3
9040,LEGO City Undercover,XOne,Platform,0.3
9041,Rayman 2: Revolution,PS2,Platform,0.3
9042,Spirit: Stallion of the Cimarron,GBA,Platform,0.3
9043,Scooby-Doo! Night of 100 Frights,GC,Platform,0.3
14360,Contra 4,DS,Shooter,0.3
14361,Virtua Cop 2,SAT,Shooter,0.3
14362,Battlefield: Hardline,X360,Shooter,0.3
14363,Tom Clancy's Rainbow Six: Siege,PC,Shooter,0.3
977,Looney Tunes: Duck Amuck,DS,Action,0.3
17533,Winning Post 2,SNES,Sports,0.3
975,Chaos Legion,PS2,Action,0.3
12487,Eternal Ring,PS2,Role-Playing,0.3
974,Tom Clancy's Splinter Cell 3D,3DS,Action,0.3
17541,AMF Bowling 2004,XB,Sports,0.3
17540,FIFA 13,3DS,Sports,0.3
17539,MLB SlugFest Loaded,PS2,Sports,0.3
17538,Shaun White Snowboarding: World Stage,Wii,Sports,0.3
12490,Radiant Historia,DS,Role-Playing,0.3
12489,Far East of Eden Zero,SNES,Role-Playing,0.3
12488,Final Fantasy Type-0 HD,XOne,Role-Playing,0.3
5660,Star Gladiator Episode: I Final Crusade,PS,Fighting,0.3
3618,Neopets: The Darkest Faerie,PS2,Adventure,0.3
5659,Pride FC: Fighting Championships,PS2,Fighting,0.3
5658,Saint Seiya: Soldiers' Soul,PS4,Fighting,0.3
5657,SoulCalibur VI,XOne,Fighting,0.3
5656,My Hero One's Justice,PS4,Fighting,0.3
5655,PowerUp Heroes,X360,Fighting,0.3
5654,Naruto: Ninja Destiny (US sales),DS,Fighting,0.3
5653,Ehrgeiz,PS,Fighting,0.3
5652,The King of Fighters XIII,PS3,Fighting,0.3
3119,LEGO DC Super-Villains,XOne,Action-Adventure,0.3
3118,Sorcery,PS3,Action-Adventure,0.3
8424,Just Dance 2018,PS4,Music,0.3
8423,Rhythm Tengoku,GBA,Music,0.3
8540,Sing Party,WiiU,Party,0.3
19310,Romance of the Three Kingdoms VIII,PS2,Strategy,0.3
19311,Invizimals: Shadow Zone,PSP,Strategy,0.3
19312,Dragon Force,SAT,Strategy,0.3
19313,Full Spectrum Warrior,PS2,Strategy,0.3
19308,Super Robot Taisen W,DS,Strategy,0.3
10906,F1 2013,X360,Racing,0.3
10907,Midtown Madness 3,XB,Racing,0.3
10908,Shrek Swamp Kart Speedway,GBA,Racing,0.3
10909,Burnout,GC,Racing,0.3
10910,Cart World Series,PS,Racing,0.3
10911,The Dukes of Hazzard II: Daisy Dukes It Out,PS,Racing,0.3
10912,Monster Truck Madness 64,N64,Racing,0.3
10913,Crazy Taxi: Catch a Ride,GBA,Racing,0.3
10914,Wacky Races: Crash & Dash,Wii,Racing,0.3
10915,Sonic & Sega All-Stars Racing Transformed,3DS,Racing,0.3
10916,Dreamworks Madagascar Kartz,PS3,Racing,0.3
3617,Charlie and the Chocolate Factory,GBA,Adventure,0.3
5661,Showdown: Legends of Wrestling,PS2,Fighting,0.3
3619,24: The Game,PS2,Adventure,0.3
5278,Monopoly for Nintendo Switch,NS,Board+Game,0.3
12485,Fossil Fighters (JP sales),DS,Role-Playing,0.3
12484,Magna Carta 2,X360,Role-Playing,0.3
3620,Jonas,DS,Adventure,0.3
12483,Blazing Heroes,SAT,Role-Playing,0.3
12482,Kingdoms of Amalur: Reckoning,PC,Role-Playing,0.3
12481,2nd Super Robot Wars Original Generation,PS3,Role-Playing,0.3
12480,Sword Art Online: Hollow Fragment,PSV,Role-Playing,0.3
17537,Power Pro Kun Pocket 10,DS,Sports,0.3
17536,Power Pro Kun Pocket 6,GBA,Sports,0.3
17535,FIFA 15,PC,Sports,0.3
17534,Rapala Pro Bass Fishing 2010,Wii,Sports,0.3
17532,WWE 2K17,X360,Sports,0.3
17531,NBA Live 2003,GC,Sports,0.3
17530,Hard Hitter Tennis,PS2,Sports,0.3
17529,Decathlete,SAT,Sports,0.3
17528,Famista '91,NES,Sports,0.3
17527,Pro Evolution Soccer 2013,X360,Sports,0.3
17526,NBA 2K19,NS,Sports,0.3
971,Ultimate Spider-Man,GBA,Action,0.3
972,Resident Evil: Revelations 2,PS3,Action,0.3
973,"Army Men World War: Land, Sea, Air",PS,Action,0.3
12486,Daikaijyuu Monogatari,SNES,Role-Playing,0.3
19309,Super Robot Taisen OG: Original Generations Gaiden,PS2,Strategy,0.3
3621,Harry Potter and the Order of the Phoenix,X360,Adventure,0.3
12498,Atelier Iris 3: Grand Phantasm (US Sales),PS2,Role-Playing,0.29
9820,Neopets Puzzle Adventure,DS,Puzzle,0.29
19316,Zoo Tycoon 2 DS,DS,Strategy,0.29
19317,SD Gundam G Century,PS,Strategy,0.29
15632,The Sims 2,PC,Simulation,0.29
15631,1701 A.D.,PC,Simulation,0.29
15630,Overcooked! 2,NS,Simulation,0.29
15621,Imagine: Makeup Artist,DS,Simulation,0.29
19318,Dynasty Tactics,PS2,Strategy,0.29
15629,Heroes of the Pacific,PS2,Simulation,0.29
15633,BeatMania Append 4thMix: The beat goes on,PS,Simulation,0.29
15628,Trauma Center: New Blood,Wii,Simulation,0.29
15627,John Deere: Harvest in the Heartland,DS,Simulation,0.29
15626,Hamster Club 4: Shigessa Daidassou,GBA,Simulation,0.29
15625,Imagine: Fashion Designer World Tour,DS,Simulation,0.29
15624,Ace Combat: Joint Assault,PSP,Simulation,0.29
15623,Harvest Moon: Magical Melody,Wii,Simulation,0.29
15622,WWII Aces,Wii,Simulation,0.29
19314,Little King's Story,Wii,Strategy,0.29
12491,Sword Art Online: Fatal Bullet,PS4,Role-Playing,0.29
15634,Purr Pals,Wii,Simulation,0.29
8425,Just Dance 2017,NS,Music,0.29
12497,NieR,X360,Role-Playing,0.29
12496,X-Men Legends II: Rise of Apocalypse,PSP,Role-Playing,0.29
12499,The Lord of the Rings: The Third Age,GC,Role-Playing,0.29
12500,Pirates of the Caribbean,XB,Role-Playing,0.29
12495,Glory of Heracles,DS,Role-Playing,0.29
12502,The Legend of Legacy,3DS,Role-Playing,0.29
12494,Guardian Heroes,SAT,Role-Playing,0.29
12504,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,Role-Playing,0.29
12505,"Sakura Wars: So Long, My Love",PS2,Role-Playing,0.29
12506,Final Fantasy X-2: International + Last Mission,PS2,Role-Playing,0.29
12493,Fable: The Journey,X360,Role-Playing,0.29
12492,Grandia II,PS2,Role-Playing,0.29
12507,Ever Oasis,3DS,Role-Playing,0.29
12508,Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,Role-Playing,0.29
12509,Tales of Phantasia,GBA,Role-Playing,0.29
19315,Kagero: Deception II,PS,Strategy,0.29
8426,Just Dance Wii 2,Wii,Music,0.29
12503,Disgaea 3: Absence of Detention,PSV,Role-Playing,0.29
10923,Cars 3: Driven to Win,PS4,Racing,0.29
9819,Feel the Magic XY/XX,DS,Puzzle,0.29
3631,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,Adventure,0.29
5664,Xena: Warrior Princess - The Talisman of Fate,N64,Fighting,0.29
5663,War Gods,N64,Fighting,0.29
5662,From TV Animation One Piece: Treasure Battle!,GC,Fighting,0.29
3622,Lupin the 3rd: Treasure of the Sorcerer King,PS2,Adventure,0.29
3623,Up,X360,Adventure,0.29
3624,Phoenix Wright: Ace Attorney: Spirit of Justice,3DS,Adventure,0.29
3625,Trace Memory,DS,Adventure,0.29
3626,Marvel Super Hero Squad,PS2,Adventure,0.29
3627,Alien: Isolation,X360,Adventure,0.29
3628,Majin and the Forsaken Kingdom,PS3,Adventure,0.29
3629,"Sakura Wars 4: Koi Seyo,Otome",DC,Adventure,0.29
3630,One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,Adventure,0.29
3632,Sherlock Holmes: Crimes & Punishments,PS4,Adventure,0.29
5666,Dragon Ball Z: Budokai Tenkaichi 2,Wii,Fighting,0.29
3633,The Golden Compass,PS3,Adventure,0.29
14370,Front Mission Evolved,PS3,Shooter,0.29
14371,Gears of War Triple Pack,X360,Shooter,0.29
14372,Call of Juarez: The Cartel,PS3,Shooter,0.29
14373,WinBack: Covert Operations,PS2,Shooter,0.29
14374,Wanted: Weapons of Fate,PS3,Shooter,0.29
14375,Area 51,XB,Shooter,0.29
14376,The Chronicles of Riddick: Assault on Dark Athena,X360,Shooter,0.29
14377,Forsaken 64,N64,Shooter,0.29
14378,The Punisher,XB,Shooter,0.29
14382,Psi-Ops: The Mindgate Conspiracy,PS2,Shooter,0.29
14381,007 Legends,X360,Shooter,0.29
5665,Dragon Ball Heroes: Ultimate Mission,3DS,Fighting,0.29
9044,Yooka-Laylee,PS4,Platform,0.29
9818,Puzzle Quest: Challenge of the Warlords,Wii,Puzzle,0.29
3120,Lego Star Wars: The Force Awakens,WiiU,Action-Adventure,0.29
9817,Mah Jong Quest: Expeditions,DS,Puzzle,0.29
9816,The New Tetris,N64,Puzzle,0.29
9815,TouchMaster: Connect,DS,Puzzle,0.29
10917,Need for Speed Underground,GBA,Racing,0.29
10918,FlatOut: Head On,PSP,Racing,0.29
10919,Ford Mustang: The Legend Lives,PS2,Racing,0.29
10920,Jeremy McGrath Supercross 2000,N64,Racing,0.29
10921,Supercross 2000,N64,Racing,0.29
10922,Top Gear Overdrive,N64,Racing,0.29
19320,Culdcept,3DS,Strategy,0.29
10924,Looney Tunes Racing,PS,Racing,0.29
10925,NASCAR 08,X360,Racing,0.29
3121,Black Panther: Yakuza New Chapter,PSP,Action-Adventure,0.29
9045,Shrek: Forever After,Wii,Platform,0.29
3122,Assassin's Creed IV: Black Flag,WiiU,Action-Adventure,0.29
3123,One Piece Unlimited World: Red,PS3,Action-Adventure,0.29
3124,Just Cause 4,XOne,Action-Adventure,0.29
9054,Earthworm Jim,GBA,Platform,0.29
9053,Spyro: A Hero's Tail,GC,Platform,0.29
9052,Sonic Forces,XOne,Platform,0.29
9051,Tomba! 2: The Evil Swine Return,PS,Platform,0.29
9050,Rayman 3: Hoodlum Havoc,PS2,Platform,0.29
9049,Skylanders Imaginators,X360,Platform,0.29
9048,Sonic Boom: Shattered Crystal,3DS,Platform,0.29
9047,Mega Man X8,PS2,Platform,0.29
9046,Ratchet & Clank: Size Matters,PS2,Platform,0.29
19319,Romance of the Three Kingdoms III: Dragon of Destiny,SNES,Strategy,0.29
12501,RPG Maker,PS,Role-Playing,0.29
17549,NBA Live 06,X360,Sports,0.29
17563,Tony Hawk: Shred,PS3,Sports,0.29
17544,Outlaw Golf,XB,Sports,0.29
17545,ExerBeat,Wii,Sports,0.29
17546,Fisherman's Bait 2: Big Ol' Bass,PS,Sports,0.29
17547,NBA Street V3,GC,Sports,0.29
17548,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,Sports,0.29
17550,J-League Victory Goal '96,SAT,Sports,0.29
17551,NHL 19,XOne,Sports,0.29
17552,Jikkyou Powerful Pro Yakyuu 8,PS2,Sports,0.29
17553,Ken Griffey Jr.'s Slugfest,N64,Sports,0.29
17554,The BIGS 2,Wii,Sports,0.29
17555,Madden NFL 08,XB,Sports,0.29
17556,MLB Pennant Race,PS,Sports,0.29
17557,MLB Power Pros,Wii,Sports,0.29
17558,Snowboarding,PS,Sports,0.29
17559,Surf's Up,PS2,Sports,0.29
17560,Power Pro Kun Pocket 11,DS,Sports,0.29
17561,Links 2004,XB,Sports,0.29
17543,Power Pro Kun Pocket 4,GBA,Sports,0.29
17542,RealSports Boxing,2600,Sports,0.29
1009,Dead Rising: Chop Till You Drop,Wii,Action,0.29
999,Kenka Bancho: Badass Rumble,PSP,Action,0.29
14379,Turning Point: Fall of Liberty,X360,Shooter,0.29
993,Spider-Man: Friend or Foe,X360,Action,0.29
994,Naruto to Boruto: Shinobi Striker,PS4,Action,0.29
995,Mini Ninjas,X360,Action,0.29
996,Ben 10 Alien Force: Vilgax Attacks,PS2,Action,0.29
997,Nicktoons: Battle for Volcano Island,DS,Action,0.29
998,Dynasty Warriors: Strikeforce,PS3,Action,0.29
1000,Dolphin,2600,Action,0.29
1008,Metal Gear Solid V: The Definitive Experience,PS4,Action,0.29
1001,The Godfather: Dons Edition,PS3,Action,0.29
1002,Prince of Persia: Rival Swords,Wii,Action,0.29
1003,Fast Food,2600,Action,0.29
1004,Nicktoons: Battle for Volcano Island,GC,Action,0.29
1005,LEGO Harry Potter: Years 5-7,PSP,Action,0.29
1006,Sengoku Basara: Samurai Heroes,Wii,Action,0.29
1007,Warriors Orochi 2,PSP,Action,0.29
17562,PGA Tour 97,PS,Sports,0.29
14380,Army of Two: The Devil's Cartel,PS3,Shooter,0.29
6795,Jeopardy! 2nd Edition,PS,Misc,0.29
6797,Karaoke Revolution Glee: Volume 3,Wii,Misc,0.29
6806,Sesame Street: Elmo's A-to-Zoo Adventure,DS,Misc,0.29
6794,Alvin and the Chipmunks: The Squeakquel,DS,Misc,0.29
6793,NES Remix,WiiU,Misc,0.29
6792,Rabbids: Alive & Kicking,X360,Misc,0.29
6805,Rock Revolution,X360,Misc,0.29
6804,Namco Museum Vol.2,PS,Misc,0.29
6803,Learn with Pokemon: Typing Adventure,DS,Misc,0.29
6798,Sesame Street: Cookie's Counting Carnival,Wii,Misc,0.29
6799,Duel Masters: Sempai Legends,GBA,Misc,0.29
6802,Shrek Super Party,PS2,Misc,0.29
6800,DX Game of Life,PS,Misc,0.29
6801,Mass Effect Trilogy,PC,Misc,0.29
6796,Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,Misc,0.29
5667,Super Fire ProWrestling X,SNES,Fighting,0.28
5668,Marvel Nemesis: Rise of the Imperfects,XB,Fighting,0.28
5669,The King of Fighters '95,SAT,Fighting,0.28
5670,Kung Fu Chaos,XB,Fighting,0.28
5671,Godzilla: Domination!,GBA,Fighting,0.28
6814,Guitar Hero: Van Halen,PS3,Misc,0.28
1036,Onechanbara Z2: Chaos,PS4,Action,0.28
1035,Darksiders,PS3,Action,0.28
1034,Silent Hill 2: Restless Dreams,XB,Action,0.28
1033,Thief,X360,Action,0.28
1032,Disney's Treasure Planet,GBA,Action,0.28
1031,Mission: Impossible - Operation Surma,PS2,Action,0.28
1030,Batman: The Brave and the Bold the Videogame,Wii,Action,0.28
1029,Hannah Montana: Spotlight World Tour,PS2,Action,0.28
1028,Jackass the Game,PS2,Action,0.28
1027,El Shaddai: Ascension of the Metatron,PS3,Action,0.28
1026,The Heavy Rain and Beyond: Two Souls Collection,PS4,Action,0.28
1025,Transformers: Dark of the Moon,X360,Action,0.28
1024,Kung Zhu,DS,Action,0.28
1023,Harry Potter and the Sorcerer's Stone,PS2,Action,0.28
5672,Backyard Wrestling 2: There Goes the Neighborhood,PS2,Fighting,0.28
1041,Gundam Versus,PS4,Action,0.28
1037,Gundam Musou Special,PS2,Action,0.28
9058,Ben 10 Ultimate Alien: Cosmic Destruction,Wii,Platform,0.28
9068,Madagascar,XB,Platform,0.28
9067,Patapon 3,PSP,Platform,0.28
9066,Mega Man 7,SNES,Platform,0.28
9065,Tom and Jerry Tales,DS,Platform,0.28
9064,Mega Man ZX,DS,Platform,0.28
9063,Skylanders Imaginators,PS3,Platform,0.28
9062,Pitfall: The Mayan Adventure,GBA,Platform,0.28
9061,Rocket Power: Beach Bandits,GBA,Platform,0.28
9060,Mega Man II,GB,Platform,0.28
9059,Mega Man: Dr. Wily's Revenge,GB,Platform,0.28
9057,Haven: Call of the King,PS2,Platform,0.28
1038,The Warriors,PSP,Action,0.28
9056,Assassin's Creed II: Discovery,DS,Platform,0.28
9055,Tigger's Honey Hunt,PS,Platform,0.28
15637,F/A-18F Super Hornet,GBA,Simulation,0.28
15638,Chromehounds,X360,Simulation,0.28
15639,Moshi Monsters: Moshlings Theme Park,3DS,Simulation,0.28
1043,True Crime: New York City,XB,Action,0.28
1042,Tak and the Guardians of Gross,PS2,Action,0.28
1021,SAW,X360,Action,0.28
1040,The Binding of Isaac: Afterbirth+,NS,Action,0.28
1039,Indiana Jones and the Staff of Kings,PS2,Action,0.28
1022,Shrek the Third,Wii,Action,0.28
1018,Viewtiful Joe,PS2,Action,0.28
1020,Medieval Moves: Deadmund's Quest,PS3,Action,0.28
14393,Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,Shooter,0.28
17585,Deer Hunter,PS2,Sports,0.28
17584,Rory McIlroy PGA Tour,XOne,Sports,0.28
17583,Rugby World Cup 2011,X360,Sports,0.28
17582,Real Pool,PS2,Sports,0.28
17581,NHL Hitz 20-03,PS2,Sports,0.28
17580,Bass Strike,PS2,Sports,0.28
17579,F1 ROC: Race of Champions,SNES,Sports,0.28
17578,NBA In The Zone,PS,Sports,0.28
15646,SimCity 2000,SAT,Simulation,0.28
17577,NCAA March Madness 2005,XB,Sports,0.28
15647,Armored Core: Project Phantasma,PS,Simulation,0.28
14392,Mister Mosquito,PS2,Shooter,0.28
17587,Summer Heat Beach Volleyball,PS2,Sports,0.28
14391,Battleborn,XOne,Shooter,0.28
14390,Dead to Rights: Retribution,PS3,Shooter,0.28
14389,Conflict: Desert Storm II - Back to Bagdhad,XB,Shooter,0.28
14388,Syphon Filter: Dark Mirror,PS2,Shooter,0.28
14387,Operation Flashpoint: Red River,X360,Shooter,0.28
14386,Unreal Championship 2: The Liandri Conflict,XB,Shooter,0.28
14385,World of Tanks,PC,Shooter,0.28
14384,DeathSmiles,X360,Shooter,0.28
14383,Hot Shots Golf: World Invitational,PS3,Shooter,0.28
19324,Civilization II,PS,Strategy,0.28
19323,Kakyuusei,SAT,Strategy,0.28
17586,Dave Mirra Freestyle BMX 2,GC,Sports,0.28
17588,NCAA Basketball 09,PS2,Sports,0.28
1019,Arcade Hits: Frisky Tom,PS,Action,0.28
15642,Spintires: MudRunner,PS4,Simulation,0.28
6815,Monopoly Streets,X360,Misc,0.28
1017,Polaris,2600,Action,0.28
1016,Fantastic 4: Flame On,GBA,Action,0.28
1015,Star Trek Bridge Crew,PS4,Action,0.28
1014,X-Men: Reign of Apocalypse,GBA,Action,0.28
1013,Bladestorm: The Hundred Years' War,PS3,Action,0.28
1012,The Warriors,XB,Action,0.28
1011,Dragon Ball GT: Transformation,GBA,Action,0.28
1010,Bratz: Super Babyz,DS,Action,0.28
15640,The Urbz: Sims In the City (US weekly sales),DS,Simulation,0.28
15641,Shrek: Ogres & Dronkeys,DS,Simulation,0.28
15643,SimCity 4,PC,Simulation,0.28
17589,Power Pro Kun Pocket 3,GBA,Sports,0.28
15644,EyePet,PSP,Simulation,0.28
15645,Wappy Dog,DS,Simulation,0.28
3634,Pirates of the Caribbean: Dead Man's Chest,PSP,Adventure,0.28
3635,Bratz Ponyz,DS,Adventure,0.28
3636,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,Adventure,0.28
3637,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,Adventure,0.28
3638,Bionic Commando,X360,Adventure,0.28
3639,CSI: Deadly Intent,Wii,Adventure,0.28
3640,Avatar: The Last Airbender,Wii,Adventure,0.28
3641,Myst III: Exile,PS2,Adventure,0.28
17590,FIFA 07 Soccer,X360,Sports,0.28
9069,Ice Age: Dawn of the Dinosaurs,Wii,Platform,0.28
9070,Castlevania: Aria of Sorrow,GBA,Platform,0.28
9071,Donkey Kong GB: Dinky Kong & Dixie Kong,GB,Platform,0.28
17574,MLB 07: The Show,PSP,Sports,0.28
8427,Next Hatsune Miku: Project Diva,PS3,Music,0.28
9072,Over the Hedge,DS,Platform,0.28
9824,Angry Birds: Star Wars,X360,Puzzle,0.28
9823,Cake Mania 2: Jill's Next Adventure!,DS,Puzzle,0.28
9822,Carol Vorderman's Sudoku,PS2,Puzzle,0.28
