Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;multiplayer;singleplayer;viewconut;likecount;commentcount;videotitle;published
1851;Medal of Honor: Airborne;X360;2007.0;Shooter;Electronic Arts;0.45;0.53;0.01;0.12;1.1;TRUE;TRUE;18854;202;19;Medal of Honor: Airborne Xbox 360 Interview - Video;2011-06-23T10:02:30Z
1852;The Legend of Zelda: Tri Force Heroes;3DS;2015.0;Action;Nintendo;0.52;0.33;0.17;0.08;1.1;TRUE;TRUE;155215;1548;285;The Legend of Zelda: Tri Force Heroes Review;2015-10-21T14:00:03Z
1853;Jungle Hunt;2600;1982.0;Platform;Atari;1.03;0.06;0.0;0.01;1.1;;;398100;5274;933;Predator: Hunting Grounds Review;2020-04-28T17:21:34Z
1854;Triple Play 98;PS;1997.0;Sports;Electronic Arts;0.61;0.42;0.0;0.07;1.1;TRUE;TRUE;2752;15;5;Triple Play 2000 PlayStation Gameplay_1999_02_12_1;2011-05-20T11:37:52Z
1855;LEGO The Lord of the Rings;PS3;2012.0;Action;Warner Bros. Interactive Entertainment;0.36;0.53;0.0;0.21;1.1;;;92202;1170;252;LEGO Lord of the Rings - Recreating Middle-Earth;2012-09-24T14:00:09Z
1856;Petz Dogz 2;DS;2007.0;Simulation;Ubisoft;0.47;0.52;0.0;0.12;1.1;TRUE;TRUE;13872;48;31;Petz Puppyz & Kittenz  - Gameplay Trailer;2011-08-08T20:27:43Z
1857;WWE SmackDown vs. Raw 2011;PS3;2010.0;Fighting;THQ;0.44;0.46;0.01;0.18;1.1;TRUE;TRUE;2114537;5792;1374;WWE Smackdown vs Raw 2011: Video Review;2010-10-22T16:52:10Z
1858;Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories;GB;1999.0;Strategy;Konami Digital Entertainment;0.0;0.0;1.1;0.0;1.1;;;43372;231;109;Yu-Gi-Oh! ZEXAL World Duel Carnival - Trailer - E3 2014;2014-06-11T18:27:37Z
1859;Lode Runner;NES;1984.0;Puzzle;Hudson Soft;0.0;0.0;1.1;0.0;1.1;FALSE;TRUE;583;3;3;Lode Runner Nintendo Wii Interview - Running Scared;2011-06-23T10:02:30Z
1860;The Final Fantasy Legend;GB;1989.0;Role-Playing;SquareSoft;0.0;0.0;1.1;0.0;1.1;FALSE;TRUE;31779;632;94;Collection of SaGa Final Fantasy Legend - Official Steam & Mobile Announcement Trailer;2021-08-27T16:30:00Z
1861;Famicom Jump: Eiyuu Retsuden;NES;1989.0;Role-Playing;Namco Bandai Games;0.0;0.0;1.1;0.0;1.1;;;;;;;
1862;F-Zero X;N64;1998.0;Racing;Nintendo;0.45;0.33;0.29;0.03;1.1;TRUE;TRUE;17628;308;96;F-Zero X - IGN Plays;2014-08-28T21:31:55Z
1863;Popeye;NES;1983.0;Platform;Nintendo;0.51;0.12;0.45;0.02;1.1;;;1110;14;4;Popeye: Rush for Spinach Game Boy Gameplay_2005_03_25;2011-06-16T13:35:56Z
1864;NERF N-Strike;Wii;2008.0;Shooter;Electronic Arts;0.92;0.09;0.0;0.09;1.1;;;311840;6323;773;Nerf Legends Review;2021-12-01T17:36:33Z
1865;NBA Live 2001;PS2;2001.0;Sports;Electronic Arts;0.52;0.4;0.04;0.13;1.1;TRUE;TRUE;400;0;0;NBA Live 2001 PlayStation Gameplay_2000_08_23_3;2011-05-20T10:09:53Z
1866;SingStar Legends;PS2;2006.0;Misc;Sony Computer Entertainment;0.12;0.75;0.0;0.23;1.1;;;4439;20;2;SingStar Legends PlayStation 2 Gameplay - Forever;2011-05-23T05:46:28Z
1867;SingStar Rocks!;PS2;2006.0;Misc;Sony Computer Entertainment;0.0;0.84;0.0;0.25;1.1;;;10337;70;10;SingStar (game & microphone) PlayStation 3 Review -;2011-06-23T10:02:30Z
1868;Tales of Symphonia;GC;2003.0;Role-Playing;Nintendo;0.54;0.21;0.31;0.04;1.1;TRUE;TRUE;75318;918;162;Venturing Back to the World of Tales of Symphonia;2014-01-07T18:26:56Z
1869;Untold Legends: Brotherhood of the Blade;PSP;2005.0;Role-Playing;Activision;0.54;0.33;0.01;0.22;1.1;TRUE;TRUE;26310;99;25;Untold Legends: Brotherhood of the Blade Sony PSP Review -;2011-06-23T10:02:30Z
1870;Star Ocean: The Second Story;PS;1998.0;Role-Playing;Sony Computer Entertainment;0.26;0.1;0.72;0.02;1.1;FALSE;TRUE;341757;817;324;Star Ocean: Second Evolution Review;2009-01-15T21:57:13Z
1871;Lightning Returns: Final Fantasy XIII;PS3;2013.0;Role-Playing;Square Enix;0.31;0.22;0.45;0.12;1.1;FALSE;TRUE;282448;2612;1324;Lightning Returns: Fintal Fantasy XIII - Review;2014-02-11T00:37:49Z
1872;Star Wars: The Force Unleashed;PSP;2008.0;Action;LucasArts;0.43;0.41;0.0;0.25;1.09;TRUE;TRUE;612018;3439;888;Star Wars: The Force Unleashed Review;2008-09-16T00:00:33Z
1873;Imagine: Babysitters;DS;2008.0;Simulation;Ubisoft;0.63;0.36;0.0;0.1;1.09;;;3266;8;1;Babysitting Mania Nintendo DS Gameplay - Twin Trouble;2011-05-19T03:31:27Z
1874;The Simpsons Game;PSP;2007.0;Action;Electronic Arts;0.24;0.55;0.0;0.31;1.09;FALSE;TRUE;138852;895;151;The Simpsons Game Xbox 360 Review - Video Review (HD);2011-06-23T10:02:30Z
1875;Yakuza 2;PS2;2006.0;Adventure;Sega;0.05;0.04;0.84;0.16;1.09;FALSE;TRUE;379511;3906;494;Yakuza Kiwami 2 Review;2018-08-23T14:00:02Z
1876;Skate 2;X360;2009.0;Sports;Electronic Arts;0.82;0.17;0.01;0.09;1.09;TRUE;TRUE;354069;1223;653;Skate 2 Review;2009-01-21T01:42:31Z
1877;Dragon Ball Z: The Legacy of Goku II;GBA;2003.0;Role-Playing;Atari;0.78;0.29;0.0;0.02;1.09;;;1260;11;4;Dragon Ball Z: The Legacy of Goku II Game Boy;2011-05-20T01:40:02Z
1878;Virtua Fighter 5;PS3;2007.0;Fighting;Sega;0.29;0.52;0.08;0.2;1.09;TRUE;TRUE;39766;241;65;Virtua Fighter 5 PlayStation 3 Review - Video Review (HD);2011-06-23T10:02:30Z
1879;NFL 2K1;DC;2000.0;Sports;Sega;1.02;0.05;0.0;0.02;1.09;TRUE;TRUE;912;2;1;NFL 2K1 Dreamcast Gameplay;2011-05-20T10:52:27Z
1880;BeatMania;PS;1998.0;Simulation;Konami Digital Entertainment;0.0;0.0;1.07;0.02;1.09;;;50;3;2;Beatmania PlayStation 2 Gameplay_2005_05_17;2011-06-16T09:21:37Z
1881;Namco Museum Battle Collection;PSP;2005.0;Misc;Sony Computer Entertainment;0.75;0.18;0.0;0.16;1.09;TRUE;TRUE;3546;9;2;Namco Museum Battle Collection Sony PSP Gameplay -;2011-05-19T21:01:18Z
1882;LEGO Star Wars II: The Original Trilogy;DS;2006.0;Action;LucasArts;0.96;0.04;0.0;0.08;1.09;TRUE;TRUE;310;1;0;LEGO Star Wars II: The Original Trilogy PlayStation;2011-05-23T06:07:49Z
1883;Madden NFL 2004;XB;2003.0;Sports;Electronic Arts;1.02;0.02;0.0;0.05;1.09;TRUE;TRUE;3344;4;1;Madden NFL 2004 PlayStation 2 Gameplay;2011-05-20T01:39:42Z
1884;Empire: Total War;PC;2009.0;Strategy;Sega;0.01;0.97;0.0;0.11;1.09;TRUE;TRUE;1339282;3230;1535;Empire: Total War Video Review;2009-03-02T22:41:35Z
1885;The Godfather;PS2;2006.0;Action;Electronic Arts;0.89;0.03;0.01;0.15;1.09;;;142280;1063;224;The Godfather Xbox 360 Review - Video Review;2011-05-19T09:18:57Z
1886;Tiger Woods PGA Tour 10;Wii;2009.0;Sports;Electronic Arts;0.61;0.37;0.0;0.11;1.09;TRUE;TRUE;3142;14;0;Tiger Woods PGA Tour 10 PlayStation 2 Video - Tiger Woods;2011-05-21T21:02:05Z
1887;Star Wars: Bounty Hunter;PS2;2002.0;Shooter;LucasArts;0.53;0.42;0.0;0.14;1.09;FALSE;TRUE;57423;1255;250;The Book of Boba Fett Season 1 Review;2022-02-10T23:44:22Z
1888;Densha De Go!;PS;1997.0;Simulation;Taito;0.0;0.0;1.02;0.07;1.09;;;4587;24;1;Densha De Go! Pocket Yamate-sen Hen Sony PSP Trailer;2011-06-16T08:48:15Z
1889;Dante's Inferno;PS3;2010.0;Action;Electronic Arts;0.64;0.28;0.04;0.13;1.09;;;133824;858;303;Dante's Inferno Preview;2010-01-21T00:57:37Z
1890;Sonic & Sega All-Stars Racing;DS;2010.0;Racing;Sega;0.44;0.54;0.0;0.11;1.09;TRUE;TRUE;385379;1302;891;Sonic & SEGA All-Star Racing Review;2010-02-24T00:35:27Z
1891;Skylanders Giants;PS3;2012.0;Action;Activision;0.35;0.52;0.0;0.22;1.09;TRUE;TRUE;128607;936;288;Skylanders Giants Video Review - IGN Reviews;2012-10-18T19:02:06Z
1892;Endless Ocean;Wii;2007.0;Adventure;Nintendo;0.44;0.47;0.09;0.09;1.09;TRUE;TRUE;39754;453;79;Endless Ocean Nintendo Wii Review - Video Review;2011-06-23T10:02:30Z
1893;NFL Blitz 2000;PS;1998.0;Sports;Midway Games;0.6;0.41;0.0;0.07;1.09;;;86984;459;306;IGN Reviews - NFL Blitz (XBLA/PSN) Game Review;2012-01-05T02:06:34Z
1894;Sonic Free Riders;X360;2010.0;Racing;Sega;0.74;0.26;0.0;0.09;1.09;TRUE;TRUE;228327;641;1546;Kinect: Sonic Free Riders Video Review;2010-11-01T17:16:52Z
1895;NASCAR Thunder 2004;PS2;2003.0;Racing;Electronic Arts;0.53;0.41;0.0;0.14;1.08;TRUE;TRUE;3352;10;1;NASCAR Thunder 2004 Xbox Gameplay;2011-05-20T01:51:35Z
1896;Prince of Persia;PS3;2008.0;Action;Ubisoft;0.47;0.41;0.03;0.18;1.08;;;361527;2568;799;Prince of Persia Review;2008-11-26T23:34:24Z
1897;SpongeBob SquarePants: Revenge of the Flying Dutchman;PS2;2002.0;Platform;THQ;0.53;0.41;0.0;0.14;1.08;FALSE;TRUE;512;5;0;The SpongeBob SquarePants Movie GameCube;2011-06-23T10:02:30Z
1898;Grand Theft Auto V;PC;2015.0;Action;Take-Two Interactive;0.36;0.64;0.0;0.08;1.08;TRUE;TRUE;3904146;51706;14171;GTA 5 - Review;2013-09-16T14:26:01Z
1899;The Biggest Loser;Wii;2009.0;Sports;THQ;0.87;0.12;0.0;0.09;1.08;;;28167;579;163;Opinion: The Biggest Loser of E3 2019 Was...2019;2019-06-19T00:00:00Z
1900;Fisherman's Bass Club;PS2;2002.0;Sports;Agetec;0.53;0.41;0.0;0.14;1.08;;;20138;48;3;Cabela's Monster Bass PlayStation 2 Gameplay - We;2011-05-20T22:47:38Z
1901;MySims Agents;DS;2009.0;Adventure;Electronic Arts;0.55;0.43;0.0;0.11;1.08;FALSE;TRUE;6771;184;20;MySims Agents Nintendo Wii Video - Producer Walkthrough;2011-05-21T00:31:54Z
1902;Resident Evil: The Darkside Chronicles;Wii;2009.0;Action;Capcom;0.48;0.32;0.2;0.09;1.08;TRUE;TRUE;427382;1355;693;Resident Evil Darkside Chronicles Review;2009-11-14T00:37:54Z
1903;NCAA Football 13;X360;2012.0;Action;Electronic Arts;1.02;0.0;0.0;0.06;1.08;TRUE;TRUE;236305;1357;527;NCAA Football 13 Review - IGN Video Review;2012-07-06T22:59:02Z
1904;Grand Theft Auto: Chinatown Wars;PSP;2009.0;Action;Take-Two Interactive;0.28;0.5;0.03;0.28;1.08;TRUE;TRUE;1285971;3849;1879;GTA: Chinatown Wars (PSP) Review;2009-10-21T00:06:26Z
1905;FIFA Soccer 11;Wii;2010.0;Sports;Electronic Arts;0.26;0.69;0.0;0.12;1.08;;;301902;793;1068;FIFA Soccer 11: Video Review;2010-09-28T17:02:17Z
1906;The Orange Box;PS3;2007.0;Shooter;Electronic Arts;0.28;0.59;0.0;0.22;1.08;TRUE;TRUE;588010;3967;2222;The Orange Box Video Review;2008-08-06T00:09:19Z
1907;Joust;2600;1982.0;Platform;Atari;1.01;0.06;0.0;0.01;1.08;;;1197;6;2;Joust Xbox Live Gameplay - Gameplay (HD);2011-06-23T10:02:30Z
1908;Tomb Raider: Underworld;X360;2008.0;Action;Eidos Interactive;0.53;0.43;0.01;0.11;1.08;FALSE;TRUE;511976;1884;750;Tomb Raider: Underworld Review;2008-11-21T01:02:13Z
1909;Tom Clancy's Ghost Recon 2;PS2;2004.0;Shooter;Ubisoft;0.64;0.34;0.0;0.1;1.08;TRUE;TRUE;586;12;1;Tom Clancy's Ghost Recon 2 PlayStation 2;2011-06-23T10:02:30Z
1910;DiRT 3;PS3;2011.0;Racing;Codemasters;0.27;0.59;0.01;0.21;1.08;TRUE;TRUE;618738;3051;1151;Dirt 3 Video Review;2011-05-21T00:33:52Z
1911;LEGO City Undercover;WiiU;2013.0;Platform;Nintendo;0.47;0.4;0.13;0.08;1.08;TRUE;TRUE;392278;3652;1117;IGN Reviews - LEGO City: Undercover Video Review;2013-03-14T16:00:50Z
1912;Spore Creatures;DS;2008.0;Simulation;Electronic Arts;0.67;0.3;0.0;0.11;1.08;TRUE;TRUE;113944;498;130;Spore Hero Video Review;2009-10-10T01:40:04Z
1913;Ready 2 Rumble Boxing;PS;1998.0;Sports;Midway Games;0.6;0.41;0.0;0.07;1.08;TRUE;TRUE;169277;2159;289;Big Rumble Boxing: Creed Champions Review;2021-09-10T04:01:58Z
1914;Dragon Ball Z: Taiketsu;GBA;2003.0;Fighting;Atari;0.77;0.29;0.0;0.02;1.08;FALSE;TRUE;251;0;0;Dragon Ball Z: Taiketsu Game Boy Gameplay_2003_08_29_2;2011-05-20T00:58:32Z
1915;Disney's Lilo & Stitch;GBA;2002.0;Platform;Ubisoft;0.77;0.29;0.0;0.02;1.08;;;819106;8359;1440;Top 25 Best Disney Animated Movies;2018-06-29T15:00:06Z
1916;Star Fox: Assault;GC;2005.0;Shooter;Nintendo;0.68;0.18;0.19;0.03;1.08;TRUE;TRUE;25245;165;93;Star Fox Assault GameCube Review - Video Review;2011-06-23T10:02:30Z
1917;Naruto: Ultimate Ninja Storm;PS3;2008.0;Fighting;Namco Bandai Games;0.49;0.35;0.09;0.16;1.08;TRUE;TRUE;632906;2926;816;Naruto: Ultimate Ninja Storm Review;2008-11-03T19:14:47Z
1918;Marvel vs. Capcom 3: Fate of Two Worlds;X360;2011.0;Fighting;Capcom;0.79;0.18;0.03;0.07;1.08;TRUE;TRUE;372224;1656;2177;Marvel vs Capcom 3 Video Review;2011-02-14T16:05:41Z
1919;NCAA Football 14;X360;2013.0;Sports;Electronic Arts;1.01;0.0;0.0;0.06;1.07;TRUE;TRUE;42897;350;75;Mix'd Reviews - NCAA Football 14;2013-07-12T19:47:12Z
1920;Doko Demo Issyo;PS;1999.0;Misc;Sony Computer Entertainment;0.0;0.0;1.0;0.07;1.07;;;8451;67;11;Doko Demo Issyo Sony PSP Gameplay;2011-06-23T10:02:30Z
1921;Call of Duty 3;PS2;2006.0;Shooter;Activision;0.89;0.03;0.0;0.15;1.07;TRUE;TRUE;69422;581;169;Call of Duty 3 Xbox 360 Review - Video Review (HD);2011-05-19T07:40:59Z
1922;Imagine: Fashion Designer New York;DS;2008.0;Simulation;Ubisoft;0.65;0.32;0.0;0.1;1.07;;;1301;3;1;The Bigs 2 Nintendo DS Gameplay - Home Run Derby;2011-05-20T23:26:53Z
1923;Red Dead Redemption: Undead Nightmare;X360;2010.0;Action;Take-Two Interactive;0.57;0.39;0.02;0.09;1.07;TRUE;TRUE;1444049;6955;4326;Red Dead Redemption Undead Nightmare: Video Review;2010-10-27T21:30:49Z
1924;Bully: Scholarship Edition;X360;2008.0;Action;Take-Two Interactive;0.53;0.4;0.03;0.11;1.07;TRUE;TRUE;659133;3902;1377;Bully: Scholarship Edition Review;2008-12-05T00:36:35Z
1925;Virtua Fighter;SAT;1994.0;Fighting;Sega;0.17;0.12;0.77;0.02;1.07;FALSE;TRUE;39766;241;65;Virtua Fighter 5 PlayStation 3 Review - Video Review (HD);2011-06-23T10:02:30Z
1926;Championship Manager 99/00;PC;1999.0;Sports;Eidos Interactive;0.0;0.98;0.0;0.09;1.07;;;;;;;
1927;WWE SmackDown vs. Raw 2010;PS2;2009.0;Fighting;THQ;0.53;0.01;0.0;0.54;1.07;TRUE;TRUE;300290;1908;574;WWE SVR 2010 Review;2009-10-15T19:40:57Z
1928;Pro Evolution Soccer 2008;X360;2007.0;Sports;Konami Digital Entertainment;0.08;0.9;0.04;0.05;1.07;TRUE;TRUE;133;1;0;Pro Evolution Soccer 2008 Xbox 360;2011-05-21T00:43:18Z
1929;Super Princess Peach;DS;2005.0;Platform;Nintendo;0.72;0.06;0.21;0.07;1.07;FALSE;TRUE;1013;6;3;Super Princess Peach Nintendo DS Gameplay_2005_10_28_1;2011-05-19T20:28:41Z
1930;NHL 99;PS;1997.0;Sports;Electronic Arts;0.59;0.4;0.0;0.07;1.07;TRUE;TRUE;560;0;0;NHL Blades of Steel '99 Nintendo 64 Gameplay;2011-05-20T13:47:43Z
1931;SoulCalibur III;PS2;2005.0;Fighting;Namco Bandai Games;0.74;0.15;0.13;0.05;1.07;;;23748;191;59;Soulcalibur III PlayStation 2 Review - Video Review;2011-06-23T10:02:30Z
1932;Skylanders SWAP Force;PS3;2013.0;Platform;Activision;0.43;0.44;0.0;0.2;1.07;;;56729;390;102;IGN Reviews - Skylanders Swap Force 3DS - Review;2013-10-14T18:10:12Z
1933;F1 2012;PS3;2012.0;Racing;Codemasters;0.12;0.64;0.05;0.25;1.07;;;9790;179;34;F1 2012 - Circuit of the Americas Hot Lap;2012-11-16T22:31:19Z
1934;World Tour Soccer;PSP;2005.0;Sports;Sony Computer Entertainment;0.1;0.63;0.0;0.34;1.07;TRUE;TRUE;182;2;0;World Tour Soccer Sony PSP Video;2011-05-19T23:35:13Z
1935;Disney Universe;Wii;2011.0;Action;Disney Interactive Studios;0.67;0.3;0.0;0.1;1.07;TRUE;TRUE;774482;2989;1179;Disney Universe: Official Trailer;2011-05-26T09:06:50Z
1936;Ridge Racer Revolution;PS;1995.0;Racing;Sony Computer Entertainment;0.17;0.12;0.71;0.07;1.07;TRUE;TRUE;43313;257;44;Ridge Racer 7 PlayStation 3 Review - Video Review (HD);2011-05-19T07:28:58Z
1937;LEGO Pirates of the Caribbean: The Video Game;X360;2011.0;Action;Disney Interactive Studios;0.54;0.42;0.0;0.1;1.07;TRUE;TRUE;267308;1480;538;LEGO Pirates of the Caribbean Video Review;2011-05-10T15:09:42Z
1938;Hot Wheels Turbo Racing;PS;1999.0;Racing;Electronic Arts;0.59;0.4;0.0;0.07;1.07;TRUE;TRUE;536;2;0;Hot Wheels: Turbo Racing Nintendo 64 Gameplay_1999_09_08_2;2011-05-20T12:36:24Z
1939;NCAA Football 99;PS;1998.0;Sports;Electronic Arts;0.59;0.4;0.0;0.07;1.06;TRUE;TRUE;12992;85;26;NCAA Football 07 Xbox Review - Video Review;2011-05-19T17:37:35Z
1940;Mortal Kombat: Armageddon;PS2;2006.0;Fighting;Midway Games;0.88;0.04;0.0;0.14;1.06;TRUE;TRUE;74408;608;137;Mortal Kombat: Armageddon PlayStation 2 Review - Video;2011-05-19T08:37:59Z
1941;Aliens vs Predator;X360;2010.0;Shooter;Sega;0.55;0.4;0.0;0.11;1.06;;;1147346;3667;2526;Aliens vs. Predator Review;2010-02-17T00:39:31Z
1942;Freekstyle;PS2;2002.0;Racing;Electronic Arts;0.52;0.41;0.0;0.14;1.06;TRUE;TRUE;1098;4;0;Freekstyle PlayStation 2 Gameplay_2002_06_14_7;2011-05-20T07:17:11Z
1943;Junior Brain Trainer;DS;2008.0;Misc;GSP;0.23;0.74;0.0;0.1;1.06;;;4000;10;4;Brain Assist Nintendo DS Gameplay - Evaluation;2011-05-23T05:53:27Z
1944;Darksiders;X360;2010.0;Action;THQ;0.67;0.29;0.01;0.1;1.06;;;709650;2961;2070;Darksiders Review;2010-01-05T20:45:37Z
1945;DiRT;PS3;2007.0;Racing;Codemasters;0.16;0.67;0.0;0.23;1.06;TRUE;TRUE;606143;6926;783;Dirt 5 Review;2020-11-19T07:43:42Z
1946;Call of Duty 4: Modern Warfare;DS;2007.0;Shooter;Activision;0.96;0.02;0.01;0.08;1.06;TRUE;TRUE;610675;4472;2831;Call of Duty 4 Video Review;2008-08-05T03:58:38Z
1947;Simple 1500 Series Vol. 1: The Mahjong;PS;1998.0;Misc;D3Publisher;0.0;0.0;0.99;0.07;1.06;;;;;;;
1948;Sega Superstars Tennis;Wii;2008.0;Sports;Sega;0.28;0.65;0.0;0.13;1.06;;;20716;90;3;SEGA Superstars Tennis Nintendo DS Gameplay -;2011-05-23T06:09:42Z
1949;NBA Street V3;PS2;2005.0;Sports;Electronic Arts;0.52;0.41;0.0;0.14;1.06;TRUE;TRUE;100;0;0;NBA Street V3 GameCube Gameplay_2005_01_14_1;2011-06-16T15:48:04Z
1950;Sleeping Dogs;PS3;2012.0;Action;Square Enix;0.31;0.5;0.05;0.19;1.06;;;1247419;12271;1449;Sleeping Dogs: Definitive Edition Review;2014-10-08T23:37:17Z
1951;Mercenaries 2: World in Flames;X360;2008.0;Shooter;Electronic Arts;0.65;0.3;0.01;0.1;1.06;TRUE;TRUE;1016659;4875;1119;Mercenaries 2: World in Flames Review;2008-09-02T01:41:55Z
1952;Worms Armageddon;PS;1999.0;Strategy;Microprose;0.18;0.81;0.0;0.08;1.06;TRUE;TRUE;249150;2115;176;Worms WMD Review;2016-08-27T01:30:01Z
1953;Hulk;PS2;2003.0;Action;Universal Interactive;0.52;0.41;0.0;0.14;1.06;;;218217;6376;354;The Incredible MCU That Time Forgot | IGN Inside Stories;2021-04-18T15:00:14Z
1954;LEGO Indiana Jones: The Original Adventures;PS3;2008.0;Action;Activision;0.44;0.44;0.0;0.18;1.06;TRUE;TRUE;198371;875;341;LEGO Indy 2 Video Review;2009-11-20T01:26:12Z
1955;NFL Blitz;N64;1998.0;Sports;Midway Games;1.02;0.04;0.0;0.01;1.06;;;86984;459;306;IGN Reviews - NFL Blitz (XBLA/PSN) Game Review;2012-01-05T02:06:34Z
1956;NFL Quarterback Club 98;N64;1997.0;Sports;Acclaim Entertainment;1.01;0.05;0.0;0.01;1.06;TRUE;TRUE;288;0;0;NFL Quarterback Club '98 Nintendo 64;2011-05-20T13:37:22Z
1957;DJ Hero;X360;2009.0;Misc;Activision;0.56;0.4;0.0;0.11;1.06;FALSE;TRUE;308604;1378;713;DJ Hero Review;2009-10-26T22:16:25Z
1958;Dora the Explorer: Dora Saves the Mermaids;DS;2007.0;Platform;Take-Two Interactive;0.97;0.01;0.0;0.08;1.06;;;217389;5339;2517;Dora and the Lost City of Gold Official Trailer (2019) Isabela Moner, Michael Peña;2019-03-24T05:07:24Z
1959;Diablo II: Lord of Destruction;PC;2001.0;Role-Playing;Vivendi Games;1.03;0.02;0.0;0.0;1.06;TRUE;TRUE;51719;842;160;What Made Diablo II One of the Greatest Action RPG of All Time;2015-11-03T17:00:00Z
1960;Naruto Shippuden: Ultimate Ninja Storm 4;PS4;2016.0;Fighting;Namco Bandai Games;0.39;0.41;0.1;0.16;1.06;FALSE;TRUE;442758;3250;2380;Naruto Shippuden: Ultimate Ninja Storm Review;2016-02-10T03:00:00Z
1961;Spider-Man 2;GBA;2004.0;Action;Activision;0.76;0.28;0.0;0.02;1.06;;;42731;280;38;Spider-Man 2 Sony PSP Review - Video Review;2011-06-23T10:02:30Z
1962;Virtua Tennis 3;PS3;2007.0;Sports;Sega;0.23;0.59;0.03;0.22;1.06;;;129399;470;275;Virtua Tennis 4 Video Review;2011-05-10T23:01:53Z
1963;Seek and Destroy;PS2;2002.0;Racing;Play It;0.52;0.4;0.0;0.14;1.06;;;14519;187;12;City of Brass - 5 Crucial Tips to Master This Brutal Rogue-lite;2018-05-23T18:00:01Z
1964;Warhawk;PS3;2007.0;Simulation;Sony Computer Entertainment;0.49;0.39;0.0;0.17;1.06;;;130179;640;406;Warhawk PlayStation 3 Review - Video Review (HD);2011-06-23T10:02:30Z
1965;Apollo Justice: Ace Attorney;DS;2007.0;Adventure;Capcom;0.32;0.06;0.64;0.04;1.06;FALSE;TRUE;1210;6;1;Apollo Justice: Ace Attorney Nintendo DS Gameplay - Hold It!;2011-05-20T23:19:53Z
1966;Assassin's Creed: Rogue;X360;2014.0;Action;Ubisoft;0.58;0.38;0.0;0.09;1.05;FALSE;TRUE;817977;9119;1417;Assassin's Creed Rogue Remastered Review;2018-03-19T11:00:02Z
1967;Cosmic Ark;2600;1981.0;Shooter;Imagic;0.99;0.05;0.0;0.01;1.05;TRUE;TRUE;558807;5571;611;Absolver Review;2017-08-30T00:57:38Z
1968;SOCOM: U.S. Navy SEALs Fireteam Bravo 2;PSP;2006.0;Shooter;Sony Computer Entertainment;0.81;0.11;0.0;0.13;1.05;TRUE;TRUE;46143;218;51;SOCOM: U.S. Navy SEALs Fireteam Bravo Sony PSP Review -;2011-06-23T10:02:30Z
1969;Skylanders: Trap Team;Wii;2014.0;Action;Activision;0.42;0.54;0.0;0.08;1.05;TRUE;TRUE;106672;822;106;Skylanders Trap Team Review;2014-10-01T17:19:45Z
1970;Aliens vs Predator;PS3;2010.0;Shooter;Sega;0.41;0.47;0.0;0.18;1.05;;;1147346;3667;2526;Aliens vs. Predator Review;2010-02-17T00:39:31Z
1971;Defender;2600;1980.0;Misc;Atari;0.99;0.05;0.0;0.01;1.05;;;977716;34950;2040;Doctor Strange in the Multiverse of Madness - Official Trailer (2022) Benedict Cumberbatch;2022-02-13T23:42:32Z
1972;Dance on Broadway;Wii;2010.0;Misc;Ubisoft;0.27;0.66;0.0;0.12;1.05;TRUE;TRUE;10140;20;21;Dance On Broadway: Timewarp Trailer;2011-04-20T16:43:59Z
1973;Adventure Island;NES;1986.0;Platform;Hudson Soft;0.0;0.0;1.05;0.0;1.05;;;128607;936;288;Skylanders Giants Video Review - IGN Reviews;2012-10-18T19:02:06Z
1974;Arc the Lad II;PS;1996.0;Role-Playing;Sony Computer Entertainment;0.0;0.0;0.92;0.13;1.05;FALSE;TRUE;1228;3;0;Arc the Lad Collection PlayStation Gameplay_2001_04_05_2;2011-05-20T09:43:30Z
1975;Tag Team Match M.U.S.C.L.E.;NES;1985.0;Fighting;Namco Bandai Games;0.0;0.0;1.05;0.0;1.05;TRUE;TRUE;44905;863;93;Mario Tennis Aces: IGN vs Kinda Funny - Party Mode;2018-06-01T16:00:06Z
1976;Derby Stallion 96;SNES;1996.0;Sports;ASCII Entertainment;0.0;0.0;1.04;0.01;1.05;;;453;1;1;Let's Make a Derby Stallion 5 PlayStation 2 Gameplay;2011-06-16T08:46:54Z
1977;UFC Undisputed 3;PS3;2012.0;Action;THQ;0.55;0.34;0.03;0.13;1.05;TRUE;TRUE;323843;2015;770;IGN Reviews - UFC Undisputed 3 - Video Review;2012-02-09T17:00:00Z
1978;NBA 2K3;PS2;2002.0;Sports;Sega;0.51;0.4;0.0;0.13;1.05;TRUE;TRUE;108;0;0;NBA 2K3 Xbox Video_2002_09_16_8;2011-05-20T06:36:54Z
1979;Dragon Ball: XenoVerse;PS4;2015.0;Fighting;Namco Bandai Games;0.3;0.48;0.12;0.15;1.05;FALSE;TRUE;585966;3832;3255;Dragon Ball XenoVerse Review;2015-03-05T02:30:00Z
1980;The Simpsons: Road Rage;XB;2001.0;Racing;Electronic Arts;0.78;0.26;0.0;0.01;1.05;TRUE;TRUE;439;2;0;The Simpsons Road Rage Xbox Gameplay_2001_09_07;2011-05-20T09:39:43Z
