Name,multiplayer_x,singleplayer_x,awarded,viewconut,likecount,commentcount,Genre__Action-Adventure,Genre__Adventure,Genre__Board+Game,Genre__Education,Genre__Fighting,Genre__MMO,Genre__Misc,Genre__Music,Genre__Party,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Genre__Visual+Novel,Meta_Critic_Score,Meta_User_Score,N_Critic_Reviews,N_User_Reviews,Platform_PC,Platform_N64,Platform_PlayStation,Platform_DC,Platform_PS2,Platform_XB,Platform_GBA,Platform_GC,Platform_NDS,Platform_X360,Platform_PSP,Platform_NWii,Platform_PS3,Platform_3DS,Platform_PSV,Platform_WiiU,Platform_PS4,Platform_XOne,Platform_NS,Platform_PS5,Platform_XS,Platform_ST,Publisher_class,Developer_class,IP_class,Sales_label_q4,Sales_label_q10
Monster Hunter Freedom Unite,1,1,0.0,20101.0,370.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81.0,8.5,48,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,9
Super Mario Advance,1,1,0.0,76117.0,1849.0,584.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84.0,7.3,19,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Crash Bandicoot: The Wrath of Cortex,0,1,0.0,974.0,4.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.0,7.2,49,102,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,9
Final Fantasy XIII,0,1,0.0,1117115.0,6413.0,6566.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82.5,6.65,137,607,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,3,9
Final Fantasy IX,1,1,0.0,94216.0,1656.0,597.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84.75,8.425,62,304,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,3,3,9
Final Fantasy X-2,0,1,0.0,872531.0,6115.0,1583.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85.0,7.5,45,158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,9
Donkey Kong 64,1,1,0.0,129.0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90.0,8.6,14,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,9
Professor Layton and the Curious Village,0,1,1.0,67.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,8.5,72,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,9
Madden NFL 2004,1,1,0.0,417.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88.2,7.340000000000001,97,136,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Dragon Quest VIII: Journey of the Cursed King,0,1,0.0,11418.0,55.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.0,8.6,121,93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,3,9
Diablo III,1,1,0.0,892896.0,5857.0,3891.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.0,5.733333333333334,171,4955,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,1,3,9
New Super Mario Bros. U,1,1,1.0,640793.0,4215.0,2080.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84.0,8.0,70,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,9
The Legend of Zelda: Phantom Hourglass,1,1,0.0,72645.0,624.0,142.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,7.9,57,136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Tomodachi Life,0,1,0.0,65439.0,738.0,181.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71.0,7.7,52,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,3,9
Medal of Honor: Rising Sun,1,1,0.0,39.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68.0,6.6,24,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,9
Fable III,1,1,0.0,891245.0,3851.0,3394.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77.5,6.05,127,328,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
Guitar Hero II,1,1,0.0,21559.0,187.0,44.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92.0,8.25,124,105,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,9
Resident Evil 5,1,1,1.0,1405872.0,6064.0,4390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.16666666666667,7.2,237,562,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,4,4,3,3,9
Grand Theft Auto: Vice City Stories,1,1,1.0,141.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5,8.05,87,76,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,9
Tony Hawk's Pro Skater,1,1,0.0,1096354.0,20293.0,2147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92.0,8.7,18,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
Link's Crossbow Training,1,1,0.0,116189.0,4541.0,287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68.0,7.2,34,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,3,9
Guitar Hero III: Legends of Rock,1,1,0.0,68393.0,596.0,184.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,83.0,7.9,189,145,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,3,9
Fallout 3,0,1,1.0,1461401.0,10278.0,5625.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91.33333333333331,8.066666666666668,189,1395,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,3,9
Uncharted: Drake's Fortune,0,1,1.0,753444.0,5470.0,1926.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,7.9,66,708,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,3,9
Madden NFL 06,1,1,1.0,52758.0,356.0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79.0,6.971428571428571,185,153,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Diddy Kong Racing,1,1,0.0,59049.0,260.0,88.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88.0,8.5,15,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,9
God of War III,0,1,1.0,4348826.0,10994.0,7854.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,8.8,101,371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,3,9
Crash Team Racing,1,1,0.0,631074.0,7359.0,2064.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88.0,9.0,20,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,9
FIFA 17,1,1,0.0,733677.0,6510.0,1278.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,84.33333333333333,4.833333333333333,107,338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,9
Driver 2,1,1,0.0,350975.0,3716.0,796.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,7.7,14,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,9
The Simpsons: Hit & Run,1,1,0.0,121170.0,2268.0,266.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,8.5,114,159,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,9
Tony Hawk's Pro Skater 2,1,1,1.0,1096354.0,20293.0,2147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93.0,7.459999999999999,85,141,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
Animal Crossing: City Folk,1,1,0.0,80932.0,738.0,233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.0,7.9,50,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1,3,9
Forza Motorsport 4,1,1,0.0,445375.0,3656.0,2328.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91.0,8.3,83,165,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
The Legend of Zelda: A Link to the Past,0,1,0.0,56184.0,796.0,384.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,9.0,30,118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
The Legend of Zelda: The Wind Waker,1,1,0.0,731422.0,7528.0,3190.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,9.0,80,394,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Mario & Sonic at the Olympic Winter Games,1,1,0.0,492699.0,4623.0,573.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.0,7.8,80,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9
Luigi's Mansion: Dark Moon,1,1,0.0,410716.0,4466.0,1147.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,8.4,74,141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,2,3,9
Splatoon,1,1,0.0,246790.0,2728.0,1747.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81.0,8.7,90,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,3,9
Madden NFL 2005,1,1,0.0,2038.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,84.0,7.316666666666666,141,91,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Madden NFL 07,1,1,1.0,68353.0,352.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79.33333333333333,6.988888888888889,226,163,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Spider-Man: The Movie,0,1,0.0,902926.0,19359.0,2356.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,7.45,84,46,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,9
Uncharted: The Nathan Drake Collection,0,1,0.0,940860.0,12955.0,1939.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,8.5,78,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,3,9
Nintendo Land,1,1,0.0,266045.0,2049.0,921.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77.0,7.9,61,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,3,9
Tony Hawk's Pro Skater 3,1,1,1.0,1096354.0,20293.0,2147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91.33333333333331,7.516666666666666,128,131,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
Winning Eleven: Pro Evolution Soccer 2007,1,1,0.0,39076.0,149.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82.0,7.900000000000001,51,31,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,9
The Elder Scrolls IV: Oblivion,0,1,0.0,51832.0,465.0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,93.66666666666669,8.366666666666665,189,1067,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,3,9
Resistance: Fall of Man,1,1,0.0,201389.0,1396.0,289.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86.0,8.1,70,189,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,3,9
Sonic the Hedgehog,1,0,0.0,581247.0,14744.0,1535.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44.5,4.8,55,488,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,3,9
Kingdom Hearts II,0,1,0.0,133398.0,521.0,1062.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.0,9.0,64,251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,9
Fable II,1,1,1.0,681325.0,3352.0,1624.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,89.0,6.7,95,274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
Halo 5: Guardians,1,1,1.0,1047659.0,11530.0,4205.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,84.0,6.4,103,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,3,9
Super Mario 3D World,1,1,1.0,564486.0,5805.0,3051.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93.0,8.9,83,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,9
Batman: Arkham Asylum,0,1,1.0,4020034.0,16581.0,5145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.33333333333331,8.7,177,875,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,3,9
Assassin's Creed: Revelations,1,1,0.0,1143107.0,7433.0,6973.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,7.466666666666666,136,577,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,3,9
Namco Museum,1,1,0.0,498.0,3.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.8,7.419999999999999,77,31,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,3,9
Metal Gear Solid 3: Snake Eater,0,1,1.0,160264.0,1168.0,272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,9.2,68,298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
FIFA Soccer 06,1,1,0.0,19378.0,110.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79.0,7.6,121,49,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9
Uncharted 4: A Thief's End,1,1,1.0,1350504.0,12264.0,6199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,8.8,119,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,3,9
Gran Turismo 5 Prologue,1,1,0.0,100307.0,602.0,80.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,7.0,67,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,3,9
Street Fighter IV,1,1,0.0,482348.0,2179.0,815.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92.66666666666669,7.5,161,172,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,2,3,9
Frogger,0,1,0.0,70912.0,1009.0,249.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,5.3,17,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,9
Madden NFL 2003,1,1,0.0,88.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92.0,7.4,66,57,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
The Legend of Zelda: Skyward Sword,0,1,1.0,454590.0,6268.0,1186.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,8.1,81,847,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Carnival Games,1,1,0.0,13594.0,105.0,24.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51.0,4.433333333333333,45,38,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,3,9
World of Warcraft: The Burning Crusade,1,0,0.0,382286.0,4649.0,775.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.0,6.0,46,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Fallout: New Vegas,0,1,0.0,1914927.0,9417.0,9116.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83.33333333333333,8.6,177,1314,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,3,9
God of War II,1,1,1.0,319948.0,2925.0,658.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,9.0,70,208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,9
Forza Motorsport 2,1,1,0.0,12128.0,184.0,22.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90.0,8.3,66,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
World Soccer Winning Eleven 9,1,1,0.0,18334.0,68.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85.33333333333333,7.266666666666666,40,29,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,9
Tekken Tag Tournament,1,1,0.0,116122.0,659.0,364.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,8.5,25,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Far Cry 4,1,1,1.0,1721988.0,15047.0,2145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82.33333333333333,7.466666666666666,115,874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,2,3,9
Star Fox 64,1,1,0.0,401787.0,2707.0,1895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88.0,8.8,16,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,9
Professor Layton and the Diabolical Box,0,1,0.0,55420.0,353.0,106.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,8.6,65,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,9
Left 4 Dead 2,1,1,0.0,1313355.0,5372.0,3499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89.0,8.45,131,696,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,9
Tony Hawk's Underground,1,1,0.0,1096354.0,20293.0,2147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87.5,7.849999999999999,99,94,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,9
Assassin's Creed IV: Black Flag,1,1,1.0,2481524.0,22784.0,5075.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.25,8.025,110,1249,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,3,3,3,9
Monster Hunter 4 Ultimate,1,1,1.0,437566.0,4349.0,1426.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86.0,8.6,80,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,2,3,9
Tekken 5,1,1,0.0,36800.0,307.0,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,8.6,62,104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Sports Champions,1,1,0.0,80348.0,306.0,283.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76.0,7.8,64,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,9
NBA 2K16,1,1,0.0,616232.0,6269.0,1119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86.5,6.45,65,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,3,9
World Soccer Winning Eleven 8 International,1,1,0.0,812.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89.66666666666667,7.8,58,35,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,9
Flash Focus: Vision Training in Minutes a Day,0,1,0.0,5254.0,34.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.0,4.4,22,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9
The Legend of Zelda: Link's Awakening,0,1,1.0,1563202.0,30775.0,1820.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,8.4,121,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,3,9
Mario & Luigi: Bowser's Inside Story,0,1,0.0,302087.0,1677.0,645.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.0,8.8,58,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
Big Brain Academy: Wii Degree,1,1,0.0,606.0,3.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.0,7.0,33,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,3,9
Batman: Arkham Knight,0,1,1.0,2128306.0,27265.0,3960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.66666666666667,6.300000000000001,122,1605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,3,3,9
Mario & Sonic at the London 2012 Olympic Games,1,1,0.0,65684.0,255.0,206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.0,7.1,66,37,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,3,3,9
LEGO Indiana Jones: The Original Adventures,1,1,0.0,198361.0,874.0,341.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.66666666666667,7.75,155,52,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,9
Ratchet & Clank: Size Matters,1,1,0.0,604.0,21.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73.5,7.25,85,54,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,9
Just Dance 2014,0,1,0.0,187735.0,651.0,434.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75.5,7.800000000000001,29,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,3,9
The Sims: Unleashed,0,1,0.0,1083823.0,3750.0,1201.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79.0,7.7,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9
Super Paper Mario,0,1,1.0,84778.0,753.0,285.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85.0,8.0,56,186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,3,9
The Witcher 3: Wild Hunt,0,1,1.0,3333441.0,27394.0,5164.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.0,9.233333333333333,126,5120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,3,9
Resident Evil 3: Nemesis,0,1,0.0,900132.0,16268.0,3306.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.75,8.8,54,84,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Spyro: Year of the Dragon,0,1,0.0,10512.0,235.0,37.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,91.0,8.9,15,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
FIFA Soccer 2005,1,1,0.0,3075.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79.25,7.725,100,53,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9
Battlefield 4,1,1,1.0,979887.0,8154.0,4236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81.25,6.2250000000000005,105,1796,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,2,2,3,9
